Item Name: ,Cost: ,Quantity: ,Vendor Name:,Vendor Part Number:,,weight
Barometric Pressure Altitude Sensor,$5.99,1,Amazon/KOOBOOK,https://www.amazon.com/KOOBOOK-GY-BMP280-3-3-Precision-Atmospheric-Barometric/dp/B07S98QBTQ,,	‎0.634 ounces
HMC5883L/QMC5883L Compass,$7,1,Amazon/HiLetgo,B008V9S64E,,‎0.493 ounces
NewBeeDrone M10Q Micro GPS w/ Compass,$20,1,NewBeeDrone,M10Q ​,,2.61 G
Ultra Light Nano FPV Camera,$18.90,1,Amazon/ SoloGood,https://www.amazon.com/Caddx-Camera-1200TVL-Global-Aspect/dp/B088TDTL1M?th=1,,2g
,,,,,,
,,,,,,
GPS Module Breakout Board - sensors,$29.95,1,Bels ,https://www.digikey.com/en/products/detail/adafruit-industries-llc/746/5353613,,6g
Freenove ESP32-S3-WROOM Board,$19.99,1,Bels ,Freenove ESP32-S3-WROOM Board,,
"30A 4-in-1 Brushless ESC for Drones | PWM, DShot, Stalling Protection & High Efficiency",,,Bels ,https://aeroselfie.myshopify.com/products/30a-4in1-brushless-esc?srsltid=AfmBOoqztRg9ITs3rd6dNrSFwFIsVrm_CwN19nHPhqxsVc9o-35YoSX8,,5.4g
,,,,,,
Total,$102,,,,,